class_id,class_name,branch,armor,weapon_family,range_band,range_m,move_speed,atk,def,body_weight,eight_dim,resource
BMG,战斗法师,魔法师系,皮甲（原著）,战矛（§16.1）,中长（3.2m）,3.2,6.3,1120,720,中,攻距A− 机动A 爆发A− 持续A 生存B 控制B+ 上手A− 上限A+,炫纹:7
ELE,元素法师,魔法师系,布甲（原著）,法杖（§16.2）,远（25m）,25,5.9,1180,620,轻,攻距A 机动D 爆发A+ 持续B− 生存D 控制A 上手B 上限B+,-
SUM,召唤师,魔法师系,布甲（原著）,魔杖（§16.3）,本体弹道 15m,15,6.0,950,640,轻,攻距B(体系) 机动C(换位) 爆发B(军团) 持续A 生存B 控制B 上手A− 上限A+,召唤位:4
WIT,魔道学者,魔法师系,皮甲（原著）,扫把（§16.4）,中 2.5m + 药剂弹道,2.5,6.1,1100,680,轻,攻距B 机动A+ 爆发B 持续B 生存B 控制B+ 上手A− 上限A−,-
BLA,剑客,剑士系,轻甲（原著）,剑五类：**重剑/大剑/短剑/太刀/光剑**（原著剑武精通分类，§16.5）,中（2.2–3.0m 随剑类）,2.2,6.3,1100,740,中,攻距B 机动A 爆发B 持续A 生存B 控制B 上手B 上限A+,-
BER,狂剑士,剑士系,重甲（原著）,重剑/巨剑（§16.6）,中长（2.8m）,2.8,6.0,1150,860,重,攻距A 机动C 爆发A 持续B 生存A− 控制B 上手A 上限B,-
SBL,魔剑士,剑士系,**板甲**（原著，剑士系唯一板甲）,魔剑（§16.7）,中 2.4m + 波动剑气 8m,2.4,6.2,1080,920,重,攻距B 机动B+ 爆发A− 持续B 生存A 控制A− 上手B+ 上限A,共鸣:3
GBL,鬼剑士,剑士系,**布甲**（原著——脆皮阵法师，非重甲剑士）,短剑/太刀（§16.8）,中 2.5m + 鬼阵 r4m,2.5,6.4,1120,640,轻,攻距B 机动A 爆发B 持续A− 生存C 控制A+ 上手A− 上限A+,-
SRP,神枪手,枪手系,原著未列（暂定皮甲，待核对）,手枪/左轮（换枪流支持双武器，§16.9）,远（25m）,25,6.3,1050,680,轻,攻距A+ 机动A 爆发B 持续A 生存C 控制C 上手B 上限A,弹匣:15
SPF,弹药师,枪手系,皮甲（原著）,手弩/步枪（§16.10）,远（22m）,22,6.2,1020,680,轻,攻距A 机动B 爆发B 持续A− 生存C 控制A 上手B+ 上限B+,弹匣:20
LAU,枪炮师,枪手系,**布甲**（原著——重火力轻身板，考据如此）,手炮/重火器（§16.11；**重火力控制需手炮**，原著）,远（35m）,35,5.7,1150,660,中（布甲但装备重）,攻距A+ 机动D 爆发A+ 持续B 生存C 控制B 上手A 上限B+,-
MEH,机械师,枪手系,布甲（原著）,机械手枪（§16.12）,远（18m）,18,6.1,1000,660,轻,攻距A 机动B 爆发B 持续B+ 生存B− 控制B 上手A− 上限A,部署位:3
STR,拳法家,格斗系,原著未列（暂定轻甲，待核对）,拳套（§16.13）,短（1.4m，全游戏最短）,1.4,6.5,1200,760,中,攻距D 机动A 爆发A 持续A− 生存B+ 控制B 上手A 上限A+,-
QIM,气功师,格斗系,布甲（原著）,念气手套（§16.14）,中 2m + 念气弹道 20m,2,6.2,1080,660,轻,攻距B 机动B 爆发B+ 持续B+ 生存A− 控制A+ 上手B 上限B+,-
GRP,柔道家,格斗系,皮甲（原著）,护手（§16.15）,短 1.3m（抓取判定 1.5m）,1.3,6.4,1150,700,中,攻距D 机动B 爆发A− 持续B 生存B 控制A+ 上手A− 上限A,-
ROG,流氓,格斗系,锁甲（原著）,爪+暗器（§16.16）,短中 1.8m + 暗器 10m,1.8,6.5,1120,780,中,攻距C 机动A− 爆发B+ 持续A 生存B 控制A 上手B+ 上限A,-
ASN,刺客,暗夜系,皮甲（原著）,匕首/双剑（§16.17；双剑解锁双刀二段流）,短 1.5m,1.5,6.6,1250,660,轻,攻距D 机动A+ 爆发A+ 持续C 生存C 控制C 上手B+ 上限A+,舍命HP池:3000
THF,盗贼,暗夜系,原著未列（暂定皮甲，待核对）,短剑/匕首（§16.18）,短 1.6m,1.6,6.5,1100,680,轻,攻距D 机动A 爆发B+ 持续A 生存B 控制B+ 上手A− 上限A,-
NJA,忍者,暗夜系,布甲（原著）,忍刀（刀+鞘双持判定，§16.19）,短中 1.8m + 忍具弹道,1.8,6.4,1120,660,轻,攻距C 机动A+ 爆发B+ 持续B 生存B 控制A− 上手A− 上限A+,-
WRK,术士,暗夜系,布甲（原著）,法杖（§16.20）,远（20m）,20,5.8,1150,640,轻,攻距A 机动D 爆发B+ 持续A− 生存C 控制A+ 上手A− 上限A,-
PRI,牧师,圣职系,布甲（原著）,权杖（§16.21）,远 16m,16,5.9,980,680,中,攻距C 机动D 爆发D 持续D 生存A− 控制C+ 上手A 上限C+,-
